,AF_test,AF_retest,ATR_test,ATR_retest,CG_test,CG_retest,CST_test,CST_retest,MLF_test,MLF_retest,FPT_test,FPT_retest,IFO_test,IFO_retest,ILF_test,ILF_retest,OR_test,OR_retest,POPT_test,POPT_retest,SLF_I_test,SLF_I_retest,SLF_II_test,SLF_II_retest,SLF_III_test,SLF_III_retest,STR_test,STR_retest,UF_test,UF_retest,T_PREF_test,T_PREF_retest,T_PREM_test,T_PREM_retest,T_PREC_test,T_PREC_retest,T_POSTC_test,T_POSTC_retest,T_PAR_test,T_PAR_retest,T_OCC_test,T_OCC_retest,ST_FO_test,ST_FO_retest,ST_PREF_test,ST_PREF_retest,ST_PREM_test,ST_PREM_retest,ST_PREC_test,ST_PREC_retest,ST_POSTC_test,ST_POSTC_retest,ST_PAR_test,ST_PAR_retest,ST_OCC_test,ST_OCC_retest,CA_test,CA_retest,CC_1_test,CC_1_retest,CC_2_test,CC_2_retest,CC_3_test,CC_3_retest,CC_4_test,CC_4_retest,CC_5_test,CC_5_retest,CC_6_test,CC_6_retest,CC_7_test,CC_7_retest
mode1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mode2,-0.484163644,-0.485793878,1,1,0.527201099,0.442238371,0.787871815,0.790003584,-0.652442344,-0.636889153,1,1,-0.447422174,-0.408107135,-2.29760055,-2.195366339,-1.453474244,-1.482164501,-0.388626835,-0.34124841,0.286953854,0.306362006,0.043855523,0.024056419,0.117551009,0.14927182,0.381804729,0.385977412,0.579161275,0.5740286,1,1,1,1,1,1,0.234592143,0.241501443,-0.534257931,-0.538310472,-1.400361708,-1.47513171,1,1,1,1,1,1,0.830899409,0.833998872,0.206376159,0.211870401,-0.406722046,-0.402398283,-1.687613544,-1.805832477,-0.579840785,-0.590442165,0.923076175,0.915312305,1,1,1,1,0.866578861,0.868442031,0.226761217,0.226221444,-0.727841082,-0.703595329,-1.007518093,-1.003015293
mode3,1,1,0.343537773,0.345986724,-0.900153715,-1.011070887,-1.094730746,-1.075683395,0.320654789,0.309028956,-0.636626413,-0.633579148,0.174405805,0.162732625,0.977214225,0.884472943,-0.140484612,-0.143862057,-1.164860227,-1.173211654,-1.195543378,-1.165721363,-0.489929088,-0.468832186,0.273231447,0.278802704,-1.527677225,-1.535177595,1,1,-0.154352633,-0.158566613,-0.085628164,-0.066521041,-1.125188912,-1.048916563,-0.874929865,-0.862238791,-0.83761447,-0.867784322,-0.161044317,-0.147500476,0.687171543,0.693558293,0.000901607,0.009711661,0.08308299,0.092510719,-0.264674271,-0.25625541,-0.253234494,-0.267468633,-0.394192428,-0.398236466,0.087239322,0.133645759,1,1,0.409725329,0.4238174,-0.278093379,-0.350443995,-0.459465792,-0.469638939,-1.355324361,-1.318178686,-1.418179262,-1.416596593,0.067321052,0.053225999,-0.419017238,-0.431266024
mode4,-0.685238363,-0.7393726,0.545543262,0.554277045,0.830541181,0.776326526,-1.632061804,-1.6045414,-0.462559165,-0.470636796,0.062779699,0.062294546,1,1,0.916377583,0.863928605,1,1,-0.750309597,-0.811569405,-0.587290494,-0.585026593,-0.242633476,-0.251091673,-0.805541124,-0.81447732,-1.081300362,-1.067336598,0.487007963,0.472732114,0.329318526,0.338523713,-0.242684684,-0.201641515,-1.916188294,-1.873105558,-1.540892796,-1.533879965,-0.403957331,-0.446735032,1,1,0.86325596,0.864661687,0.422846708,0.436461897,-0.391612673,-0.353203124,-1.870180737,-1.830580737,-1.301488715,-1.297922487,-0.552770712,-0.578355137,1,1,-0.084669591,-0.035393753,1,1,0.429859118,0.391910615,-0.463585548,-0.453318606,-1.336233871,-1.323909698,-1.109976552,-1.079487228,-0.298628702,-0.314366281,1,1
mode5,0.132533777,0.228728637,0.045382129,0.042271544,-1.425189934,-1.423935856,0.271878413,0.263670583,0.306444459,0.321121315,-1.220596538,-1.222569629,0.34770413,0.378612695,-0.909449052,-0.765999759,0.596643793,0.614745067,0.976352386,0.95817029,-0.185347637,-0.213559219,0.478823666,0.49553663,1,1,-0.500740413,-0.529333951,0.180897653,0.199223213,-0.621421692,-0.636974779,-0.053981031,-0.042560165,0.421099385,0.449928473,0.964793422,0.973495116,1,1,0.54219775,0.587092538,0.407973196,0.405945503,-0.451356594,-0.450053383,0.226982024,0.227172339,1,1,1,1,1,1,0.367044229,0.367255131,-0.840585382,-0.889863117,0.037600442,0.054138243,-0.911703522,-1.002244578,-0.444702345,-0.460045542,-0.467653336,-0.439076002,-0.073659084,-0.114496665,0.295733493,0.287256219,0.282810659,0.307247836
mode6,-0.075974291,-0.096455418,-0.359612209,-0.341727738,1,1,-0.970413509,-1.025588008,0.372246359,0.377255427,-0.663974351,-0.673311776,-0.414070455,-0.39500975,-1.048222389,-1.000409656,-0.698508548,-0.693756142,1,1,0.259660312,0.239049664,-0.363414155,-0.32438769,-0.168736531,-0.214671759,0.801245697,0.784683695,0.709291728,0.708998112,-0.550409918,-0.538929263,-1.32247139,-1.293299315,-1.292061374,-1.366149854,0.173467014,0.14118742,0.771248686,0.824077134,-0.692845838,-0.687545428,0.565648281,0.57131272,-0.384367322,-0.35501477,-1.278762355,-1.274741758,-0.987283048,-1.071862761,0.084249124,0.066099356,0.559769372,0.572307491,-0.743227713,-0.746756581,0.161623839,0.15675882,0.765320385,0.753157679,-0.368792574,-0.374174381,-1.318122116,-1.303125054,-0.652457311,-0.702904174,1,1,0.664046926,0.695889217,-0.438655846,-0.430764555
mode7,0.922307874,0.999764654,-0.012838733,-0.000403936,0.038996914,-0.00800881,-1.016397683,-0.994289599,1,1,0.838412622,0.846001405,-0.205265837,-0.175032691,-0.298712436,-0.130490137,0.612533259,0.664041903,0.114816679,0.100745526,0.213170023,0.185883356,1,1,0.248257843,0.199663667,-0.476595734,-0.470794255,-0.501557009,-0.528775602,0.481790515,0.505074739,-0.427543725,-0.416097898,-1.284532722,-1.269313896,-0.358402338,-0.368068482,0.676503106,0.650285144,0.497773541,0.619434391,-0.271801295,-0.264547789,0.383370937,0.392345098,-0.661229341,-0.636305964,-1.086662743,-1.067012207,-0.294903844,-0.300507199,0.606469023,0.595788977,0.425662607,0.514882806,-0.508663508,-0.568103559,0.188519931,0.175805912,0.864843255,0.906998297,-0.247550323,-0.249427305,-0.866559429,-0.872416979,-0.354189306,-0.340726645,0.598909395,0.59030188,-0.270564249,-0.242924836
mode8,0.226535053,0.252148563,0.136530925,0.126093343,0.754448202,0.874738687,-1.083173613,-1.084840885,-0.04407211,-0.030287168,0.497998778,0.499889195,0.06660395,0.062368639,-0.545453205,-0.469216907,0.279058178,0.278120227,-0.893515932,-0.955017281,-0.379286134,-0.370059068,-0.475146475,-0.500390627,0.136319485,0.138413645,-0.684980075,-0.70958502,-0.158152558,-0.129842203,0.302073902,0.295788117,0.390015045,0.360290313,-0.925037911,-0.84830899,-1.308988261,-1.293750651,-0.68459917,-0.671567126,0.24412455,0.257510232,-0.301067637,-0.305469578,0.238663755,0.231881484,0.607371717,0.569031391,0.207171625,0.174563748,-0.333894861,-0.365733685,-0.231924268,-0.23307387,0.205182857,0.211678148,-0.344465311,-0.457744447,-0.577629454,-0.574877759,0.35794035,0.415211812,0.50890295,0.518637718,-0.417889837,-0.418514419,-0.711711591,-0.684826638,0.499912194,0.54044326,0.323019439,0.335307788
mode9,0.25668534,0.274416948,-0.63347087,-0.621790777,0.0527457,0.024636312,0.567833064,0.520171844,-0.08887626,-0.068459993,-0.004088592,-0.000766608,0.391460389,0.399806717,1,1,0.404117469,0.372526914,-1.126907224,-1.064085951,-0.451615714,-0.402169961,-0.791309517,-0.774676978,-0.110269674,-0.112639166,1,1,0.193293194,0.219008909,-0.397959573,-0.388316281,-0.543406605,-0.575590082,0.612605315,0.552909073,-0.058672783,-0.066421696,-1.031655903,-1.019821466,0.396988436,0.369391259,0.256671623,0.25661989,-0.332331383,-0.309865345,-0.399328174,-0.435178212,0.614533383,0.548793512,0.101467499,0.092335222,-0.649418943,-0.622276038,0.495304055,0.469762031,-0.412971301,-0.420067556,0.304800424,0.278187266,-0.327566112,-0.255401999,-0.142016563,-0.139271112,0.969520747,0.925958554,0.536231743,0.556973609,-0.24969177,-0.229099085,0.054791507,0.037485336
mode10,-0.384433015,-0.450786216,-0.312234542,-0.309879523,-1.139489797,-1.178961879,1,1,-0.262923883,-0.287398878,0.040365771,0.043727939,0.238042773,0.249017925,0.030737229,0.086434351,0.876785397,0.927588915,-0.022681477,-0.054016393,0.195077849,0.203848735,-0.184352343,-0.214197291,-0.843936744,-0.848006521,0.665866333,0.722499244,0.608209282,0.603255193,-0.172828352,-0.171021031,0.100981486,0.077215162,0.976153252,0.910421932,-0.131415581,-0.163527919,-0.429746489,-0.47181838,0.765877579,0.854472757,0.112012418,0.118613749,-0.168243052,-0.166723561,-0.025342507,-0.053066121,0.112651206,0.087842062,-0.37320794,-0.380435027,-0.501467474,-0.536302371,0.683486403,0.750729441,0.449675666,0.364978367,0.11134936,0.112302937,-0.329504543,-0.313261163,0.207746592,0.200610328,1,1,-0.028892637,-0.017733336,-0.383785111,-0.394626758,0.282456183,0.316198284
