mode,h2
mode1,0
mode2,0.298938758
mode3,0.299552705
mode4,0.30302822
mode5,0.23959003
mode6,0.380070184
mode7,0.335412377
mode8,0.320868527
mode9,0.292894192
mode10,0.298689308
mode11,0.424075507
mode12,0.249852538
mode13,0.341542956
mode14,0.339093165
mode15,0.323217937
mode16,0.409389903
mode17,0.364304723
mode18,0.264888557
mode19,0.309905917
mode20,0.332359265
mode21,0.255862016
mode22,0.343746743
mode23,0.353848923
mode24,0.308400707
mode25,0.242652085
mode26,0.284787411
mode27,0.335850985
mode28,0.223956716
mode29,0.297818693
mode30,0.267313983
mode31,0.246784529
mode32,0.328855578
mode33,0.300882462
mode34,0.271922366
mode35,0.216309032
mode36,0.267770524
mode37,0.253271866
mode38,0.256500642
mode39,0.331208713
mode40,0.194779777
mode41,0.211693711
mode42,0.296531692
mode43,0.228821501
mode44,0.319377727
mode45,0.213167247
mode46,0.309398901
mode47,0.216860163
mode48,0.243185127
mode49,0.304090913
mode50,0.228003658
mode51,0.205623998
mode52,0.241761992
mode53,0.189320905
mode54,0.262618394
mode55,0.325707725
mode56,0.248111161
mode57,0.29642811
mode58,0.23789784
mode59,0.266803766
mode60,0.243405878
mode61,0.208331404
mode62,0.208027695
mode63,0.203545177
mode64,0.22872125
mode65,0.256590918
mode66,0.237867958
mode67,0.225257507
mode68,0.300014293
mode69,0.219518151
mode70,0.240656829
mode71,0.223201411
mode72,0.212643996
mode73,0.209161772
mode74,0.226453115
mode75,0.254337797
mode76,0.206989035
mode77,0.189393888
mode78,0.235894517
mode79,0.209289316
mode80,0.212234382
mode81,0.253279447
mode82,0.235956817
mode83,0.207750217
mode84,0.246319694
mode85,0.212834005
mode86,0.20638889
mode87,0.224909796
mode88,0.230572766
mode89,0.235248295
mode90,0.198913369
mode91,0.209197291
mode92,0.227889324
mode93,0.23484474
mode94,0.18935178
mode95,0.248401798
mode96,0.195540591
mode97,0.164817542
mode98,0.236176406
mode99,0.242695256
mode100,0.18661217
mode101,0.198653728
mode102,0.246073932
mode103,0.237316037
mode104,0.169680858
mode105,0.138672723
mode106,0.182748236
mode107,0.147988298
mode108,0.180854771
mode109,0.151798281
mode110,0.260352597
mode111,0.266492401
mode112,0.234478696
mode113,0.120857939
mode114,0.207963228
mode115,0.235447876
mode116,0.187944713
mode117,0.229180013
mode118,0.19783862
mode119,0.185207854
mode120,0.19048874
mode121,0.189678492
mode122,0.160960441
mode123,0.256881867
mode124,0.190425498
mode125,0.200028646
mode126,0.24020333
mode127,0.248630189
mode128,0.204170811
mode129,0.189198231
mode130,0.170092495
mode131,0.146684427
mode132,0.170200525
mode133,0.182569126
mode134,0.191457157
mode135,0.211647141
mode136,0.137073459
mode137,0.185445484
mode138,0.142527572
mode139,0.133260446
mode140,0.214889928
mode141,0.181527998
mode142,0.167970483
mode143,0.20094902
mode144,0.175124829
mode145,0.156246096
mode146,0.17242711
mode147,0.173854224
mode148,0.192185959
mode149,0.192348886
mode150,0.153957776
mode151,0.17945865
mode152,0.206220367
mode153,0.147905774
mode154,0.152441219
mode155,0.187686696
mode156,0.170517353
mode157,0.142498405
mode158,0.180335333
mode159,0.189328513
mode160,0.172116658
mode161,0.190325059
mode162,0.222322377
mode163,0.171923844
mode164,0.188123978
mode165,0.186513077
mode166,0.153986689
mode167,0.247518732
mode168,0.159969406
mode169,0.192698607
mode170,0.153102228
mode171,0.166398955
mode172,0.132047546
mode173,0.137514387
mode174,0.164665054
mode175,0.152322007
mode176,0.171985723
mode177,0.162223774
mode178,0.156781879
mode179,0.205670557
mode180,0.187379208
mode181,0.166010914
mode182,0.115477783
mode183,0.176411862
mode184,0.171932557
mode185,0.150281821
mode186,0.131072172
mode187,0.168659099
mode188,0.145788164
mode189,0.154295898
mode190,0.108631404
mode191,0.160346422
mode192,0.141204422
mode193,0.16776543
mode194,0.164623142
mode195,0.163449517
mode196,0.166035523
mode197,0.186417242
mode198,0.19542829
mode199,0.153239994
mode200,0.157838251
