,Dissatisfaction,Cognition,Emotion
mode1,0.155095232,0.032313343,0.045793623
mode2,1.962505074,6.25473473,1.449761681
mode3,1.059603956,0.114812609,0.828209636
mode4,0.60372193,2.766734821,1.15646205
mode5,2.469846896,5.248902303,1.274019337
mode6,2.726329192,7.70172496,2.008384255
mode7,4.059857812,9.919477923,1.616831422
mode8,2.749499043,5.835929742,1.077286965
mode9,2.404422627,3.75223937,0.514148814
mode10,3.346709273,3.461162576,1.219156236
mode11,1.318307034,3.575086385,0.598306274
mode12,1.100382783,1.534455679,1.023808063
mode13,0.201622904,0.952170841,0.004639784
mode14,1.660444093,1.116978898,0.218542589
mode15,1.106729197,3.115860104,0.389204861
mode16,2.073778807,4.510876182,0.34979979
mode17,1.982022506,2.17528819,0.454494921
mode18,0.009275085,1.602708445,0.350087839
mode19,0.189829891,0.093474875,0.020941719
mode20,1.646237824,1.594430213,0.215502479
mode21,0.309909363,1.983578246,0.481539047
mode22,1.50601657,3.720205123,0.923585569
mode23,1.126443102,1.316431013,0.54318402
mode24,1.974535397,3.066321132,1.484840683
mode25,2.254568709,0.873820515,0.954162933
mode26,0.587932514,1.315088973,0.13855966
mode27,0.084358445,1.565915139,0.790304701
mode28,0.713309282,1.937040057,0.570806172
mode29,0.189953242,1.47787358,0.197775693
mode30,0.225637717,0.64894535,0.019630895
mode31,1.784180563,1.323894061,1.503293167
mode32,2.829243067,3.054446493,0.98239913
mode33,0.822695711,0.710373351,0.15769588
mode34,0.987952156,0.116847991,0.389104876
mode35,0.905766337,0.853196119,0.07249817
mode36,0.872593461,0.142930871,0.076617138
mode37,0.427147219,0.465408984,0.091238749
mode38,0.337701444,1.785057132,0.299596244
mode39,0.720122202,1.999440876,1.463028515
mode40,0.44193548,0.93239297,0.742711515
mode41,1.723502722,3.802932722,0.406990712
mode42,1.221975201,1.14778454,0.502522599
mode43,1.553369571,2.067238666,0.58892933
mode44,0.148842772,0.149769935,0.251134477
mode45,1.068013098,0.399691258,0.433245253
mode46,0.941018958,0.375479328,0.11038872
mode47,1.849507442,1.592422396,1.159770157
mode48,0.356647162,0.371958458,0.44621128
mode49,2.445804168,1.991618231,0.377818366
mode50,0.457969642,1.771578135,0.826713957
mode51,0.054782185,0.040983545,0.386484158
mode52,0.400924316,0.274488338,0.403246589
mode53,0.386089943,1.358141245,0.930791198
mode54,0.384944199,1.958426898,0.52653741
mode55,1.582345714,1.390018536,0.420204023
mode56,1.177964548,2.150928582,0.312724891
mode57,1.91237427,1.186378794,0.24324956
mode58,0.127735732,0.888236877,0.550633686
mode59,1.25084282,1.390194489,0.254709809
mode60,1.037259255,0.390916581,0.158765593
mode61,1.363227741,2.935607756,0.714766668
mode62,0.4604271,2.615510505,1.34045845
mode63,0.853238941,2.001909384,0.752744734
mode64,0.635827712,0.865645229,0.528347817
mode65,0.336421376,0.021834639,0.417963533
mode66,0.614094949,2.216254555,0.085500571
mode67,0.156161204,0.085597241,0.178376234
mode68,0.500342197,1.763244115,0.801565219
mode69,1.174850372,1.274704142,0.261410017
mode70,0.626263987,0.014376199,0.183970049
