tract,p,r_squared,partial_R2,increse rate
AF,0,0.085,0.090023374,0.52656151
ATR,0.003,0.106,0.047314417,0.178266776
CG,0,0.07,0.036989448,0.806257684
CST,0.003,0.068,0.049341026,0.082510904
MLF,0,0.1,0.104449881,0.688632065
FPT,0.155,0.062,0.023811113,-0.024467295
IFO,0,0.101,0.101986872,0.366528951
ILF,0,0.061,0.059578259,0.576472916
OR,0.216,0.008,0.01330451,0.060063137
POPT,0.131,0.026,0.0240277,0.003267034
SLF_I,0,0.087,0.097118474,0.331041505
SLF_II,0,0.066,0.05724803,0.28786227
SLF_III,0,0.078,0.079205185,0.529210755
STR,0.003,0.071,0.033038718,0.240525325
UF,0,0.124,0.106663468,0.755447162
T_PREF,0,0.109,0.070531811,0.122345316
T_PREM,0.476,0.001,0.007058649,0.033756873
T_PREC,0.002,0.069,0.04967639,0.118138487
T_POSTC,0,0.095,0.075437338,0.2244824
T_PAR,0,0.047,0.054622117,0.147774624
T_OCC,0.17,0.002,0.004621342,0.056784381
ST_FO,0,0.094,0.081080781,0.34005778
ST_PREF,0,0.119,0.114294701,0.18736708
ST_PREM,0,0.052,0.058918485,0.255461421
ST_PREC,0,0.058,0.044315459,0.160494426
ST_POSTC,0,0.073,0.054186229,0.252579646
ST_PAR,0,0.087,0.091486218,0.199788357
ST_OCC,0.143,0.012,0.020169368,0.051786055
CA,0.155,0.01,0.014616419,0.104648188
CC_1,0,0.058,0.047902505,0.44631675
CC_2,0.037,0.039,0.025526148,0.086375571
CC_3,0.434,0.001,0.001776185,0.036623851
CC_4,0.214,0.007,0.008932198,0.057019681
CC_5,0.019,0.041,0.013561216,0.087787234
CC_6,0,0.059,0.062848975,0.158074453
CC_7,0.664,-0.004,0.000547002,0.047435146
