,corr,exp,surid
0,-0.06466956200254938,Breakspear,0
1,-0.0041858837128634354,Brainsmash,0
2,-0.05387230798140949,Breakspear,1
3,0.0035402409025592847,Brainsmash,1
4,0.0007043900669446261,Breakspear,2
5,-0.04049980127877936,Brainsmash,2
6,-0.05685161208414862,Breakspear,3
7,0.10976108202222801,Brainsmash,3
8,-0.11337226869366149,Breakspear,4
9,0.07797000294538196,Brainsmash,4
10,-0.032981924564531716,Breakspear,5
11,-0.016115910863760533,Brainsmash,5
12,0.003627299282295908,Breakspear,6
13,0.07473034937398058,Brainsmash,6
14,-0.18702912692968193,Breakspear,7
15,0.06667227319075136,Brainsmash,7
16,-0.20807214405956853,Breakspear,8
17,0.008954179708334878,Brainsmash,8
18,0.04928104113103655,Breakspear,9
19,0.11064701330638628,Brainsmash,9
20,0.006945613514141382,Breakspear,10
21,0.01422091264870025,Brainsmash,10
22,-0.0535530117735583,Breakspear,11
23,0.0023800391136896675,Brainsmash,11
24,-0.036658851246449665,Breakspear,12
25,0.005466028127527193,Brainsmash,12
26,-0.06554729483249272,Breakspear,13
27,0.03146156999005625,Brainsmash,13
28,0.03391027544721703,Breakspear,14
29,0.057959151701007766,Brainsmash,14
30,0.07207173780459109,Breakspear,15
31,0.08002390493298993,Brainsmash,15
32,0.05068772641094212,Breakspear,16
33,-0.06085769958221301,Brainsmash,16
34,-0.15710416125476073,Breakspear,17
35,-0.0689120082685316,Brainsmash,17
36,-0.18044354705486673,Breakspear,18
37,0.1091844576698169,Brainsmash,18
38,0.22343979412024959,Breakspear,19
39,-0.048093366896059045,Brainsmash,19
40,-0.12769043434489305,Breakspear,20
41,-0.02851364839786991,Brainsmash,20
42,-0.14107106903519626,Breakspear,21
43,-0.0828747910592781,Brainsmash,21
44,0.14655613145042648,Breakspear,22
45,0.15139113755305486,Brainsmash,22
46,-0.16705314830294699,Breakspear,23
47,-0.031156356148881067,Brainsmash,23
48,-0.14185108235886643,Breakspear,24
49,0.04135161873470054,Brainsmash,24
50,-0.0002054638990679475,Breakspear,25
51,0.08223501213310017,Brainsmash,25
52,-0.18890273251925888,Breakspear,26
53,0.07756815344525624,Brainsmash,26
54,-0.004265798945068896,Breakspear,27
55,-0.12293277715312281,Brainsmash,27
56,0.13158014427417747,Breakspear,28
57,0.013000606355588775,Brainsmash,28
58,0.04659421685537233,Breakspear,29
59,-0.052184875726719926,Brainsmash,29
60,0.021065921753910283,Breakspear,30
61,-0.015339913203607619,Brainsmash,30
62,0.0006433391041697777,Breakspear,31
63,0.1187762808059742,Brainsmash,31
64,-0.10843273688155856,Breakspear,32
65,-0.12601992845164323,Brainsmash,32
66,-0.09079861081782653,Breakspear,33
67,0.04496220856252955,Brainsmash,33
68,-0.12890968653148224,Breakspear,34
69,-0.0005725081482485242,Brainsmash,34
