,EMOTION-FACES-SHAPES,GAMBLING-REWARD,LANGUAGE-STORY-MATH,MOTOR-AVG,RELATIONAL-REL,SOCIAL-TOM,WM-2BK
TGC 1,-0.06749283210998984,0.03176510433061601,-0.10861176127312894,-0.05337874081522893,-0.12850512428236238,-0.15006240373788457,0.021136565673943526
TGC 2,0.10359832965354951,0.04548581315365002,0.14694745590307326,0.06382583063717612,0.2805788356139465,0.26972083662058943,0.0006838684489803383
TGC 3,-0.05371059498218218,-0.03344838777303256,-0.1819478649813695,-0.10749868255008431,-0.2835166440666161,-0.25334296208025825,-0.02339375035858718
TGC 4,0.006712531802809178,0.13690352628225266,0.255843262343984,0.1921793722746604,0.3116796490230448,0.2593289041028005,0.1584497157116378
TGC 5,0.07224116865278678,-0.05108462128407897,-0.049810912786775116,-0.016512221608578716,-0.21290200043184968,-0.0985472297272271,-0.14066372184701548
TGC 6,0.11169059584044318,0.2539816789742577,0.26698234497211976,0.2028988659748654,0.37168559947289537,0.2833804234217771,0.15785939176052033
TGC 7,0.08489317499479422,0.1412304988655795,0.18892253063428976,0.1497965016786512,0.15997109863475859,0.20413988253720788,-0.027386224460783464
TGC 8,-0.02150109056912185,-0.09045841018916892,-0.08804875971503967,-0.013371736147859201,-0.00515893911084418,-0.06876126839384739,-0.011770687800650253
TGC 9,0.0128095906861545,-0.09269685045168408,-0.2240157808563605,-0.11827682782758148,-0.33497842612017764,-0.28927424150223113,-0.20967749927016713
TGC 10,-0.022057397882353377,-0.18603228667082658,-0.12884973880255288,-0.07929079718042306,-0.31392730161241633,-0.15805026970797725,-0.15014096327604418
TGC 11,0.12487279655207191,0.20162520843178788,0.13064631468109547,0.11603735892117782,0.34620043074221934,0.23254913674399685,0.09614483878341691
TGC 12,-0.004356966741164876,0.08035793962313904,0.11511578979399145,0.058871153798935594,0.019307074909588506,-0.011854820013717057,0.06543292535673823
TGC 13,0.06704463879815303,0.24235494111564662,0.10663554960009075,0.18165547853701583,0.16687331443495368,0.08835705127027171,0.22583992289485555
TGC 14,-0.04601920186154958,0.17943691460933237,0.11795928903984845,0.13539881537649687,0.08466589969689871,0.08669076533648645,0.10733746188208715
TGC 15,0.1217788741049101,0.2217962914964245,0.23852847810381564,0.16912817335149624,0.2390402820246132,0.2584079263225252,0.14422261116292717
TGC 16,-0.05441476722064933,0.04519515147164936,-0.10863070925763303,0.09781074402122818,0.08221911598224216,-0.13302923757882384,0.09872762948334807
TGC 17,0.11792792483064814,-0.021969108210588208,0.08605186421696684,-0.013464882022979725,0.19596354138333752,0.20408148759707345,0.005892447517974463
TGC 18,0.022492428547776076,-0.0679596828525678,-0.19074625112782045,0.03253492311825938,-0.15953263289152145,-0.13122976630509084,-0.10880582523439535
TGC 19,0.09431702140524839,0.06630868759108251,0.20886411139848304,0.2205667490457609,0.15044531801563654,0.18496610491353996,-0.029430626434218333
